DESDE;COTIZACION
13/9/2013 00:00;0.00
19/9/2013 00:00;5.76
20/9/2013 00:00;5.76
24/9/2013 00:00;5.84
25/9/2013 00:00;5.84
26/9/2013 00:00;5.85
27/9/2013 00:00;5.79
1/10/2013 00:00;5.87
3/10/2013 00:00;5.88
4/10/2013 00:00;5.88
7/10/2013 00:00;5.89
8/10/2013 00:00;5.95
10/10/2013 00:00;5.90
11/10/2013 00:00;5.90
15/10/2013 00:00;5.91
16/10/2013 00:00;5.91
17/10/2013 00:00;5.91
18/10/2013 00:00;5.92
21/10/2013 00:00;5.93
23/10/2013 00:00;5.93
24/10/2013 00:00;5.94
25/10/2013 00:00;5.95
28/10/2013 00:00;5.96
29/10/2013 00:00;5.96
30/10/2013 00:00;5.97
31/10/2013 00:00;5.98
1/11/2013 00:00;5.99
4/11/2013 00:00;6.01
8/11/2013 00:00;5.98
29/11/2013 00:00;6.14
13/12/2013 00:00;6.14
27/12/2013 00:00;6.14
30/12/2013 00:00;6.52
10/1/2014 00:00;6.52
14/1/2014 00:00;6.52
31/1/2014 00:00;8.02
3/2/2014 00:00;8.02
28/2/2014 00:00;7.88
28/3/2014 00:00;7.88
31/3/2014 00:00;8.01
25/4/2014 00:00;8.01
30/4/2014 00:00;8.00
28/5/2014 00:00;8.14
30/5/2014 00:00;8.08
4/6/2014 00:00;8.08
30/6/2014 00:00;8.13
11/7/2014 00:00;8.13
16/7/2014 00:00;8.13
30/7/2014 00:00;8.13
31/7/2014 00:00;8.21
1/8/2014 00:00;8.22
4/8/2014 00:00;8.25
5/8/2014 00:00;8.27
6/8/2014 00:00;8.27
7/8/2014 00:00;8.27
8/8/2014 00:00;8.27
11/8/2014 00:00;8.27
12/8/2014 00:00;8.27
13/8/2014 00:00;8.27
14/8/2014 00:00;8.28
15/8/2014 00:00;8.28
19/8/2014 00:00;8.28
20/8/2014 00:00;8.30
21/8/2014 00:00;8.35
22/8/2014 00:00;8.42
25/8/2014 00:00;8.41
26/8/2014 00:00;8.41
27/8/2014 00:00;8.41
28/8/2014 00:00;8.41
29/8/2014 00:00;8.40
1/9/2014 00:00;8.41
2/9/2014 00:00;8.41
3/9/2014 00:00;8.41
4/9/2014 00:00;8.40
5/9/2014 00:00;8.41
8/9/2014 00:00;8.42
9/9/2014 00:00;8.41
10/9/2014 00:00;8.40
11/9/2014 00:00;8.40
12/9/2014 00:00;8.40
15/9/2014 00:00;8.40
16/9/2014 00:00;8.40
17/9/2014 00:00;8.41
18/9/2014 00:00;8.42
19/9/2014 00:00;8.42
22/9/2014 00:00;8.43
23/9/2014 00:00;8.43
24/9/2014 00:00;8.43
25/9/2014 00:00;8.43
26/9/2014 00:00;8.44
29/9/2014 00:00;8.46
30/9/2014 00:00;8.46
7/10/2014 00:00;8.47
8/10/2014 00:00;8.46
9/10/2014 00:00;8.47
10/10/2014 00:00;8.48
14/10/2014 00:00;8.48
15/10/2014 00:00;8.48
16/10/2014 00:00;8.48
20/10/2014 00:00;8.48
21/10/2014 00:00;8.50
22/10/2014 00:00;8.49
23/10/2014 00:00;8.49
24/10/2014 00:00;8.49
28/10/2014 00:00;8.49
29/10/2014 00:00;8.50
30/10/2014 00:00;8.50
31/10/2014 00:00;8.50
3/11/2014 00:00;8.51
4/11/2014 00:00;8.51
5/11/2014 00:00;8.51
7/11/2014 00:00;8.51
10/11/2014 00:00;8.51
11/11/2014 00:00;8.51
12/11/2014 00:00;8.51
13/11/2014 00:00;8.51
14/11/2014 00:00;8.51
17/11/2014 00:00;8.51
18/11/2014 00:00;8.51
19/11/2014 00:00;8.51
20/11/2014 00:00;8.51
21/11/2014 00:00;8.52
25/11/2014 00:00;8.52
26/11/2014 00:00;8.52
27/11/2014 00:00;8.53
28/11/2014 00:00;8.52
1/12/2014 00:00;8.53
2/12/2014 00:00;8.53
3/12/2014 00:00;8.54
4/12/2014 00:00;8.54
5/12/2014 00:00;8.55
9/12/2014 00:00;8.56
10/12/2014 00:00;8.55
11/12/2014 00:00;8.55
12/12/2014 00:00;8.55
15/12/2014 00:00;8.55
16/12/2014 00:00;8.55
18/12/2014 00:00;8.55
19/12/2014 00:00;8.55
22/12/2014 00:00;8.55
23/12/2014 00:00;8.55
29/12/2014 00:00;8.55
30/12/2014 00:00;8.55
2/1/2015 00:00;8.55
5/1/2015 00:00;8.56
6/1/2015 00:00;8.57
7/1/2015 00:00;8.58
8/1/2015 00:00;8.59
9/1/2015 00:00;8.59
12/1/2015 00:00;8.59
13/1/2015 00:00;8.59
15/1/2015 00:00;8.60
16/1/2015 00:00;8.60
19/1/2015 00:00;8.60
20/1/2015 00:00;8.61
21/1/2015 00:00;8.61
22/1/2015 00:00;8.62
23/1/2015 00:00;8.63
26/1/2015 00:00;8.63
27/1/2015 00:00;8.63
28/1/2015 00:00;8.63
29/1/2015 00:00;8.63
30/1/2015 00:00;8.64
2/2/2015 00:00;8.65
3/2/2015 00:00;8.66
4/2/2015 00:00;8.66
5/2/2015 00:00;8.66
6/2/2015 00:00;8.66
9/2/2015 00:00;8.66
10/2/2015 00:00;8.67
11/2/2015 00:00;8.68
12/2/2015 00:00;8.68
18/2/2015 00:00;8.69
19/2/2015 00:00;8.69
20/2/2015 00:00;8.70
23/2/2015 00:00;8.71
24/2/2015 00:00;8.72
25/2/2015 00:00;8.72
26/2/2015 00:00;8.73
27/2/2015 00:00;8.72
2/3/2015 00:00;8.73
3/3/2015 00:00;8.74
4/3/2015 00:00;8.74
5/3/2015 00:00;8.75
6/3/2015 00:00;8.76
9/3/2015 00:00;8.76
10/3/2015 00:00;8.77
11/3/2015 00:00;8.77
12/3/2015 00:00;8.78
13/3/2015 00:00;8.78
16/3/2015 00:00;8.78
17/3/2015 00:00;8.79
18/3/2015 00:00;8.79
19/3/2015 00:00;8.79
20/3/2015 00:00;8.80
25/3/2015 00:00;8.80
26/3/2015 00:00;8.80
27/3/2015 00:00;8.81
30/3/2015 00:00;8.82
31/3/2015 00:00;8.82
1/4/2015 00:00;8.83
6/4/2015 00:00;8.83
7/4/2015 00:00;8.83
8/4/2015 00:00;8.84
9/4/2015 00:00;8.84
10/4/2015 00:00;8.85
13/4/2015 00:00;8.85
14/4/2015 00:00;8.86
15/4/2015 00:00;8.86
16/4/2015 00:00;8.87
17/4/2015 00:00;8.87
20/4/2015 00:00;8.87
21/4/2015 00:00;8.87
22/4/2015 00:00;8.88
23/4/2015 00:00;8.88
24/4/2015 00:00;8.89
27/4/2015 00:00;8.89
28/4/2015 00:00;8.90
29/4/2015 00:00;8.90
30/4/2015 00:00;8.90
4/5/2015 00:00;8.91
5/5/2015 00:00;8.91
6/5/2015 00:00;8.92
7/5/2015 00:00;8.92
8/5/2015 00:00;8.93
11/5/2015 00:00;8.93
12/5/2015 00:00;8.94
13/5/2015 00:00;8.94
14/5/2015 00:00;8.94
15/5/2015 00:00;8.95
18/5/2015 00:00;8.95
19/5/2015 00:00;8.96
20/5/2015 00:00;8.96
21/5/2015 00:00;8.97
22/5/2015 00:00;8.97
26/5/2015 00:00;8.97
27/5/2015 00:00;8.98
28/5/2015 00:00;8.98
29/5/2015 00:00;8.99
